Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count,,,,,,,,,,,,
2022,FYTD,APR,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,533,,,,,,,,,,,,
2022,FYTD,APR,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Apprehensions,10700,,,,,,,,,,,,
2022,FYTD,APR,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,2192,,,,,,,,,,,,
2022,FYTD,APR,U.S. Border Patrol,Single Adults,Honduras,Title 42,Apprehensions,6160,,,,,,,,,,,,
2022,FYTD,APR,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,2246,,,,,,,,,,,,
2022,FYTD,APR,U.S. Border Patrol,Single Adults,Mexico,Title 42,Apprehensions,67024,,,,,,,,,,,,
2022,FYTD,APR,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,5257,,,,,,,,,,,,
2022,FYTD,APR,U.S. Border Patrol,Single Adults,Other,Title 42,Apprehensions,2497,,,,,,,,,,,,
2022,FYTD,APR,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,53605,,,,,,,,,,,,
2022,FYTD,APR,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1275,,,,,,,,,,,,
2022,FYTD,APR,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,4702,,,,,,,,,,,,
2022,FYTD,APR,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,2611,,,,,,,,,,,,
2022,FYTD,APR,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,2552,,,,,,,,,,,,
2022,FYTD,APR,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,717,,,,,,,,,,,,
2022,FYTD,AUG,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,2,,,,,,,,,,,,
2022,FYTD,AUG,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,1,,,,,,,,,,,,
2022,FYTD,AUG,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,2,,,,,,,,,,,,
2022,FYTD,AUG,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,1,,,,,,,,,,,,
2022,FYTD,AUG,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,18,,,,,,,,,,,,
2022,FYTD,AUG,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,2,,,,,,,,,,,,
2022,FYTD,AUG,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,185,,,,,,,,,,,,
2022,FYTD,AUG,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,67,,,,,,,,,,,,
2022,FYTD,AUG,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,11,,,,,,,,,,,,
2022,FYTD,AUG,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,6,,,,,,,,,,,,
2022,FYTD,AUG,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,423,,,,,,,,,,,,
2022,FYTD,AUG,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,432,,,,,,,,,,,,
2022,FYTD,AUG,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,2393,,,,,,,,,,,,
2022,FYTD,AUG,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,3424,,,,,,,,,,,,
2022,FYTD,AUG,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,5796,,,,,,,,,,,,
2022,FYTD,AUG,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,9,,,,,,,,,,,,
2022,FYTD,AUG,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,179,,,,,,,,,,,,
2022,FYTD,AUG,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,33,,,,,,,,,,,,
2022,FYTD,AUG,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,92,,,,,,,,,,,,
2022,FYTD,AUG,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,41,,,,,,,,,,,,
2022,FYTD,AUG,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,519,,,,,,,,,,,,
2022,FYTD,AUG,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1654,,,,,,,,,,,,
2022,FYTD,AUG,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2801,,,,,,,,,,,,
2022,FYTD,AUG,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,75,,,,,,,,,,,,
2022,FYTD,AUG,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,3799,,,,,,,,,,,,
2022,FYTD,AUG,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,13,,,,,,,,,,,,
2022,FYTD,AUG,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,29,,,,,,,,,,,,
2022,FYTD,AUG,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,28,,,,,,,,,,,,
2022,FYTD,AUG,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,243,,,,,,,,,,,,
2022,FYTD,AUG,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,35,,,,,,,,,,,,
2022,FYTD,AUG,U.S. Border Patrol,FMUA,El Salvador,Title 42,Apprehensions,468,,,,,,,,,,,,
2022,FYTD,AUG,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,766,,,,,,,,,,,,
2022,FYTD,AUG,U.S. Border Patrol,FMUA,Guatemala,Title 42,Apprehensions,1196,,,,,,,,,,,,
2022,FYTD,AUG,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,304,,,,,,,,,,,,
2022,FYTD,AUG,U.S. Border Patrol,FMUA,Honduras,Title 42,Apprehensions,1863,,,,,,,,,,,,
2022,FYTD,AUG,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,631,,,,,,,,,,,,
2022,FYTD,AUG,U.S. Border Patrol,FMUA,Mexico,Title 42,Apprehensions,1653,,,,,,,,,,,,
2022,FYTD,AUG,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,269,,,,,,,,,,,,
2022,FYTD,AUG,U.S. Border Patrol,FMUA,Other,Title 42,Apprehensions,1342,,,,,,,,,,,,
2022,FYTD,AUG,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,30813,,,,,,,,,,,,
2022,FYTD,AUG,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Apprehensions,3287,,,,,,,,,,,,
2022,FYTD,AUG,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,389,,,,,,,,,,,,
2022,FYTD,AUG,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Apprehensions,8767,,,,,,,,,,,,
2022,FYTD,AUG,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,509,,,,,,,,,,,,
2022,FYTD,AUG,U.S. Border Patrol,Single Adults,Honduras,Title 42,Apprehensions,7389,,,,,,,,,,,,
2022,FYTD,AUG,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,651,,,,,,,,,,,,
2022,FYTD,AUG,U.S. Border Patrol,Single Adults,Mexico,Title 42,Apprehensions,44479,,,,,,,,,,,,
2022,FYTD,AUG,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,4046,,,,,,,,,,,,
2022,FYTD,AUG,U.S. Border Patrol,Single Adults,Other,Title 42,Apprehensions,2234,,,,,,,,,,,,
2022,FYTD,AUG,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,59725,,,,,,,,,,,,
2022,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1138,,,,,,,,,,,,
2022,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 42,Apprehensions,1,,,,,,,,,,,,
2022,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,4315,,,,,,,,,,,,
2022,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,2684,,,,,,,,,,,,
2022,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1951,,,,,,,,,,,,
2022,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,904,,,,,,,,,,,,
2022,FYTD,DEC,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,4,,,,,,,,,,,,
2022,FYTD,DEC,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,3,,,,,,,,,,,,
2022,FYTD,DEC,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,211,,,,,,,,,,,,
2022,FYTD,DEC,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,70,,,,,,,,,,,,
2022,FYTD,DEC,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,13,,,,,,,,,,,,
2022,FYTD,DEC,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,4,,,,,,,,,,,,
2022,FYTD,DEC,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,72,,,,,,,,,,,,
2022,FYTD,DEC,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,25,,,,,,,,,,,,
2022,FYTD,DEC,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,181,,,,,,,,,,,,
2022,FYTD,DEC,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,430,,,,,,,,,,,,
2022,FYTD,DEC,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,1602,,,,,,,,,,,,
2022,FYTD,DEC,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,17,,,,,,,,,,,,
2022,FYTD,DEC,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,20,,,,,,,,,,,,
2022,FYTD,DEC,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,31,,,,,,,,,,,,
2022,FYTD,DEC,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,28,,,,,,,,,,,,
2022,FYTD,DEC,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,14,,,,,,,,,,,,
2022,FYTD,DEC,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,70,,,,,,,,,,,,
2022,FYTD,DEC,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1941,,,,,,,,,,,,
2022,FYTD,DEC,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,1811,,,,,,,,,,,,
2022,FYTD,DEC,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,77,,,,,,,,,,,,
2022,FYTD,DEC,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,1853,,,,,,,,,,,,
2022,FYTD,DEC,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,4,,,,,,,,,,,,
2022,FYTD,DEC,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,17,,,,,,,,,,,,
2022,FYTD,DEC,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,17,,,,,,,,,,,,
2022,FYTD,DEC,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,110,,,,,,,,,,,,
2022,FYTD,DEC,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,26,,,,,,,,,,,,
2022,FYTD,DEC,U.S. Border Patrol,FMUA,El Salvador,Title 42,Apprehensions,1080,,,,,,,,,,,,
2022,FYTD,DEC,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,1846,,,,,,,,,,,,
2022,FYTD,DEC,U.S. Border Patrol,FMUA,Guatemala,Title 42,Apprehensions,1978,,,,,,,,,,,,
2022,FYTD,DEC,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,1143,,,,,,,,,,,,
2022,FYTD,DEC,U.S. Border Patrol,FMUA,Honduras,Title 42,Apprehensions,4389,,,,,,,,,,,,
2022,FYTD,DEC,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,2625,,,,,,,,,,,,
2022,FYTD,DEC,U.S. Border Patrol,FMUA,Mexico,Title 42,Apprehensions,1744,,,,,,,,,,,,
2022,FYTD,DEC,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,184,,,,,,,,,,,,
2022,FYTD,DEC,U.S. Border Patrol,FMUA,Other,Title 42,Apprehensions,2714,,,,,,,,,,,,
2022,FYTD,DEC,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,31734,,,,,,,,,,,,
2022,FYTD,DEC,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Apprehensions,4310,,,,,,,,,,,,
2022,FYTD,DEC,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,179,,,,,,,,,,,,
2022,FYTD,DEC,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Apprehensions,12153,,,,,,,,,,,,
2022,FYTD,DEC,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,362,,,,,,,,,,,,
2022,FYTD,DEC,U.S. Border Patrol,Single Adults,Honduras,Title 42,Apprehensions,7720,,,,,,,,,,,,
2022,FYTD,DEC,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,540,,,,,,,,,,,,
2022,FYTD,DEC,U.S. Border Patrol,Single Adults,Mexico,Title 42,Apprehensions,41435,,,,,,,,,,,,
2022,FYTD,DEC,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,1756,,,,,,,,,,,,
2022,FYTD,DEC,U.S. Border Patrol,Single Adults,Other,Title 42,Apprehensions,2319,,,,,,,,,,,,
2022,FYTD,DEC,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,38687,,,,,,,,,,,,
2022,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1342,,,,,,,,,,,,
2022,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,5272,,,,,,,,,,,,
2022,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,2582,,,,,,,,,,,,
2022,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1783,,,,,,,,,,,,
2022,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,725,,,,,,,,,,,,
2022,FYTD,FEB,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,1,,,,,,,,,,,,
2022,FYTD,FEB,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,2,,,,,,,,,,,,
2022,FYTD,FEB,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,1,,,,,,,,,,,,
2022,FYTD,FEB,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,7,,,,,,,,,,,,
2022,FYTD,FEB,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,3,,,,,,,,,,,,
2022,FYTD,FEB,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,166,,,,,,,,,,,,
2022,FYTD,FEB,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,38,,,,,,,,,,,,
2022,FYTD,FEB,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,9,,,,,,,,,,,,
2022,FYTD,FEB,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,2,,,,,,,,,,,,
2022,FYTD,FEB,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,97,,,,,,,,,,,,
2022,FYTD,FEB,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,66,,,,,,,,,,,,
2022,FYTD,FEB,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,261,,,,,,,,,,,,
2022,FYTD,FEB,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,322,,,,,,,,,,,,
2022,FYTD,FEB,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,811,,,,,,,,,,,,
2022,FYTD,FEB,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,8,,,,,,,,,,,,
2022,FYTD,FEB,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,33,,,,,,,,,,,,
2022,FYTD,FEB,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,9,,,,,,,,,,,,
2022,FYTD,FEB,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,30,,,,,,,,,,,,
2022,FYTD,FEB,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,18,,,,,,,,,,,,
2022,FYTD,FEB,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,80,,,,,,,,,,,,
2022,FYTD,FEB,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1995,,,,,,,,,,,,
2022,FYTD,FEB,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2016,,,,,,,,,,,,
2022,FYTD,FEB,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,56,,,,,,,,,,,,
2022,FYTD,FEB,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,609,,,,,,,,,,,,
2022,FYTD,FEB,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,10,,,,,,,,,,,,
2022,FYTD,FEB,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,26,,,,,,,,,,,,
2022,FYTD,FEB,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,17,,,,,,,,,,,,
2022,FYTD,FEB,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,128,,,,,,,,,,,,
2022,FYTD,FEB,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,19,,,,,,,,,,,,
2022,FYTD,FEB,U.S. Border Patrol,FMUA,El Salvador,Title 42,Apprehensions,457,,,,,,,,,,,,
2022,FYTD,FEB,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,1051,,,,,,,,,,,,
2022,FYTD,FEB,U.S. Border Patrol,FMUA,Guatemala,Title 42,Apprehensions,1844,,,,,,,,,,,,
2022,FYTD,FEB,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,313,,,,,,,,,,,,
2022,FYTD,FEB,U.S. Border Patrol,FMUA,Honduras,Title 42,Apprehensions,2916,,,,,,,,,,,,
2022,FYTD,FEB,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,691,,,,,,,,,,,,
2022,FYTD,FEB,U.S. Border Patrol,FMUA,Mexico,Title 42,Apprehensions,1561,,,,,,,,,,,,
2022,FYTD,FEB,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,150,,,,,,,,,,,,
2022,FYTD,FEB,U.S. Border Patrol,FMUA,Other,Title 42,Apprehensions,1236,,,,,,,,,,,,
2022,FYTD,FEB,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,14946,,,,,,,,,,,,
2022,FYTD,FEB,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Apprehensions,4166,,,,,,,,,,,,
2022,FYTD,FEB,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,194,,,,,,,,,,,,
2022,FYTD,FEB,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Apprehensions,10740,,,,,,,,,,,,
2022,FYTD,FEB,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,344,,,,,,,,,,,,
2022,FYTD,FEB,U.S. Border Patrol,Single Adults,Honduras,Title 42,Apprehensions,6859,,,,,,,,,,,,
2022,FYTD,FEB,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,464,,,,,,,,,,,,
2022,FYTD,FEB,U.S. Border Patrol,Single Adults,Mexico,Title 42,Apprehensions,60478,,,,,,,,,,,,
2022,FYTD,FEB,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,2498,,,,,,,,,,,,
2022,FYTD,FEB,U.S. Border Patrol,Single Adults,Other,Title 42,Apprehensions,625,,,,,,,,,,,,
2022,FYTD,FEB,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,35858,,,,,,,,,,,,
2022,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1129,,,,,,,,,,,,
2022,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,4840,,,,,,,,,,,,
2022,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,2759,,,,,,,,,,,,
2022,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,2498,,,,,,,,,,,,
2022,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,553,,,,,,,,,,,,
2022,FYTD,JAN,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,1,,,,,,,,,,,,
2022,FYTD,JAN,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,159,,,,,,,,,,,,
2022,FYTD,JAN,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,63,,,,,,,,,,,,
2022,FYTD,JAN,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,14,,,,,,,,,,,,
2022,FYTD,JAN,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,2,,,,,,,,,,,,
2022,FYTD,JAN,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,65,,,,,,,,,,,,
2022,FYTD,JAN,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,51,,,,,,,,,,,,
2022,FYTD,JAN,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,183,,,,,,,,,,,,
2022,FYTD,JAN,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,384,,,,,,,,,,,,
2022,FYTD,JAN,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,901,,,,,,,,,,,,
2022,FYTD,JAN,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,7,,,,,,,,,,,,
2022,FYTD,JAN,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,27,,,,,,,,,,,,
2022,FYTD,JAN,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,19,,,,,,,,,,,,
2022,FYTD,JAN,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,31,,,,,,,,,,,,
2022,FYTD,JAN,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,13,,,,,,,,,,,,
2022,FYTD,JAN,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,81,,,,,,,,,,,,
2022,FYTD,JAN,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1919,,,,,,,,,,,,
2022,FYTD,JAN,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2013,,,,,,,,,,,,
2022,FYTD,JAN,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,58,,,,,,,,,,,,
2022,FYTD,JAN,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,865,,,,,,,,,,,,
2022,FYTD,JAN,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,8,,,,,,,,,,,,
2022,FYTD,JAN,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,9,,,,,,,,,,,,
2022,FYTD,JAN,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,8,,,,,,,,,,,,
2022,FYTD,JAN,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,106,,,,,,,,,,,,
2022,FYTD,JAN,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,10,,,,,,,,,,,,
2022,FYTD,JAN,U.S. Border Patrol,FMUA,El Salvador,Title 42,Apprehensions,469,,,,,,,,,,,,
2022,FYTD,JAN,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,828,,,,,,,,,,,,
2022,FYTD,JAN,U.S. Border Patrol,FMUA,Guatemala,Title 42,Apprehensions,1319,,,,,,,,,,,,
2022,FYTD,JAN,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,317,,,,,,,,,,,,
2022,FYTD,JAN,U.S. Border Patrol,FMUA,Honduras,Title 42,Apprehensions,3037,,,,,,,,,,,,
2022,FYTD,JAN,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,606,,,,,,,,,,,,
2022,FYTD,JAN,U.S. Border Patrol,FMUA,Mexico,Title 42,Apprehensions,1373,,,,,,,,,,,,
2022,FYTD,JAN,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,117,,,,,,,,,,,,
2022,FYTD,JAN,U.S. Border Patrol,FMUA,Other,Title 42,Apprehensions,2287,,,,,,,,,,,,
2022,FYTD,JAN,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,20066,,,,,,,,,,,,
2022,FYTD,JAN,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Apprehensions,3308,,,,,,,,,,,,
2022,FYTD,JAN,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,155,,,,,,,,,,,,
2022,FYTD,JAN,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Apprehensions,8806,,,,,,,,,,,,
2022,FYTD,JAN,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,247,,,,,,,,,,,,
2022,FYTD,JAN,U.S. Border Patrol,Single Adults,Honduras,Title 42,Apprehensions,5799,,,,,,,,,,,,
2022,FYTD,JAN,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,342,,,,,,,,,,,,
2022,FYTD,JAN,U.S. Border Patrol,Single Adults,Mexico,Title 42,Apprehensions,50207,,,,,,,,,,,,
2022,FYTD,JAN,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,1947,,,,,,,,,,,,
2022,FYTD,JAN,U.S. Border Patrol,Single Adults,Other,Title 42,Apprehensions,920,,,,,,,,,,,,
2022,FYTD,JAN,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,37120,,,,,,,,,,,,
2022,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,942,,,,,,,,,,,,
2022,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,3057,,,,,,,,,,,,
2022,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,1942,,,,,,,,,,,,
2022,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,2053,,,,,,,,,,,,
2022,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,613,,,,,,,,,,,,
2022,FYTD,JUL,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,2,,,,,,,,,,,,
2022,FYTD,JUL,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,3,,,,,,,,,,,,
2022,FYTD,JUL,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,21,,,,,,,,,,,,
2022,FYTD,JUL,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,4,,,,,,,,,,,,
2022,FYTD,JUL,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,155,,,,,,,,,,,,
2022,FYTD,JUL,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,68,,,,,,,,,,,,
